usage_id,customer_id,subscription_id,avg_watch_hours_per_day,sessions_per_week,last_login_days_ago,content_type_preference,completion_rate_pct,peak_usage_time
U00246,C0199,S00246,4.88,5,12,Documentary,88.73,Evening
U00247,C0200,S00247,0.37,5,20,News,31.19,Night
U00248,C0201,S00248,5.4,13,0,Regional Cinema,96.94,Morning
U00249,C0202,S00249,5.01,7,13,Regional Cinema,74.09,Morning
U00250,C0203,S00250,3.54,10,11,Sports,65.13,Night
U00251,C0203,S00251,1.9,4,17,News,32.62,Afternoon
U00252,C0204,S00252,0.87,5,45,Kids,18.5,Morning
U00253,C0205,S00253,2.57,4,1,News,91.93,Morning
U00254,C0205,S00254,1.79,1,67,News,29.02,Evening
U00255,C0206,S00255,4.26,10,13,Regional Cinema,68.73,Morning
U00256,C0207,S00256,-0.53,5,0,Regional Cinema,75.42,Night
U00257,C0208,S00257,4.27,6,10,Documentary,60.38,Evening
U00258,C0209,S00258,3.61,5,8,Web Series,67.34,Morning
U00259,C0209,S00259,2.08,14,5,Documentary,55.17,Afternoon
U00260,C0210,S00260,1.07,4,80,Sports,31.98,Morning
U00261,C0211,S00261,1.28,1,38,Kids,52.61,Morning
U00262,C0212,S00262,5.31,4,7,Web Series,83.89,Morning
U00263,C0213,S00263,-2.92,15,6,Sports,75.08,Evening
U00264,C0214,S00264,3.62,10,10,Sports,81.22,Night
U00265,C0215,S00265,1.83,2,86,Regional Cinema,48.11,Morning
U00266,C0216,S00266,3.82,10,6,Sports,89.0,Morning
U00267,C0217,S00267,1.62,1,67,Web Series,26.21,Night
U00268,C0217,S00268,2.11,13,5,Web Series,82.85,Morning
U00269,C0218,S00269,0.45,5,53,News,33.24,Night
U00270,C0219,S00270,4.72,15,6,Regional Cinema,60.0,Morning
U00271,C0220,S00271,0.92,1,15,Sports,16.27,Afternoon
U00272,C0220,S00272,3.24,9,1,News,73.67,Afternoon
U00273,C0221,S00273,0.84,3,87,Web Series,39.12,Night
U00274,C0222,S00274,1.77,6,11,News,92.55,Afternoon
U00275,C0223,S00275,5.15,7,1,Kids,76.88,Evening
U00276,C0224,S00276,4.73,9,6,Documentary,56.56,Afternoon
U00277,C0224,S00277,0.83,1,79,Sports,53.61,Morning
U00278,C0225,S00278,4.22,14,0,Regional Cinema,66.57,Morning
U00279,C0226,S00279,5.38,4,11,News,96.8,Morning
U00280,C0227,S00280,0.87,5,68,Bollywood,26.13,Afternoon
U00281,C0228,S00281,4.91,11,5,Sports,87.48,Morning
U00282,C0229,S00282,2.7,5,7,News,67.8,Night
U00283,C0230,S00283,4.46,11,2,Kids,93.14,Morning
U00284,C0231,S00284,1.31,1,49,Kids,34.75,Evening
U00285,C0232,S00285,1.71,1,47,Bollywood,38.54,Night
U00286,C0233,S00286,0.67,4,85,Regional Cinema,52.88,Evening
U00287,C0233,S00287,5.17,5,13,Bollywood,81.23,Morning
U00288,C0234,S00288,1.89,1,34,Documentary,38.14,Morning
U00289,C0235,S00289,4.69,6,6,Regional Cinema,75.02,Afternoon
U00290,C0235,S00290,2.64,8,7,Kids,61.93,Night
U00291,C0236,S00291,2.07,2,68,Bollywood,46.81,Night
U00292,C0237,S00292,4.01,5,7,Documentary,83.34,Night
U00293,C0237,S00293,0.51,3,46,Bollywood,38.99,Morning
U00294,C0238,S00294,-2.94,12,6,Regional Cinema,73.94,Afternoon
U00295,C0238,S00295,0.39,3,16,News,22.13,Morning
U00296,C0239,S00296,1.59,2,21,Documentary,,Night
U00297,C0240,S00297,2.18,13,10,News,68.76,Evening
U00298,C0241,S00298,5.39,11,6,News,80.22,Night
U00299,C0241,S00299,2.48,1,88,Kids,29.73,Morning
U00300,C0242,S00300,1.19,2,49,Kids,36.89,Afternoon
U00301,C0243,S00301,1.59,3,38,Sports,46.16,Evening
U00302,C0244,S00302,0.45,1,53,Sports,,Afternoon
U00303,C0244,S00303,0.56,1,63,Sports,41.74,Afternoon
U00304,C0245,S00304,-1.03,5,7,Bollywood,87.19,Night
U00305,C0245,S00305,2.49,5,66,Sports,42.88,Night
U00306,C0246,S00306,0.48,1,48,Documentary,32.62,Evening
U00307,C0247,S00307,1.49,3,70,Sports,26.15,Evening
U00308,C0247,S00308,2.35,5,28,Documentary,28.91,Evening
U00309,C0248,S00309,1.88,5,71,Bollywood,42.79,Evening
U00310,C0249,S00310,3.03,7,0,Regional Cinema,85.73,Night
U00311,C0250,S00311,2.34,1,85,Sports,49.2,Night
U00312,C0251,S00312,3.2,,11,Web Series,72.29,Evening
U00313,C0252,S00313,0.4,3,39,Sports,31.05,Morning
U00314,C0253,S00314,0.66,4,66,Regional Cinema,31.77,Night
U00315,C0253,S00315,1.8,12,9,Documentary,64.54,Afternoon
U00316,C0254,S00316,0.83,3,36,Kids,51.69,Morning
U00317,C0255,S00317,1.65,4,44,Sports,18.71,Night
U00318,C0256,S00318,0.64,2,53,Kids,24.15,Night
U00319,C0257,S00319,1.72,2,49,Kids,51.87,Morning
U00320,C0258,S00320,1.64,3,90,News,49.64,Evening
U00321,C0259,S00321,2.93,6,9,Bollywood,81.08,Night
U00322,C0260,S00322,1.93,11,13,Regional Cinema,86.42,Evening
U00323,C0260,S00323,0.44,2,31,Documentary,54.25,Night
U00324,C0261,S00324,0.55,4,42,Regional Cinema,37.07,Evening
U00325,C0262,S00325,0.83,5,52,Sports,39.23,Night
U00326,C0263,S00326,3.81,7,4,Regional Cinema,69.97,Night
U00327,C0264,S00327,0.47,4,63,News,25.6,Evening
U00328,C0265,S00328,5.49,10,8,Sports,70.73,Afternoon
U00329,C0266,S00329,2.56,9,8,Documentary,61.04,Night
U00330,C0267,S00330,1.7,8,10,Kids,72.75,Evening
U00331,C0268,S00331,3.83,8,7,Kids,58.56,Evening
U00332,C0269,S00332,4.15,5,0,Kids,79.15,Evening
U00333,C0270,S00333,1.28,5,16,Documentary,,Night
U00334,C0271,S00334,1.95,3,40,Kids,25.93,Afternoon
U00335,C0272,S00335,2.23,5,21,Bollywood,54.88,Evening
U00336,C0272,S00336,0.69,1,64,Regional Cinema,48.09,Evening
U00337,C0273,S00337,3.47,6,0,News,76.97,Afternoon
U00338,C0274,S00338,3.14,10,4,News,70.74,Afternoon
U00339,C0275,S00339,1.78,5,1,News,93.61,Afternoon
U00340,C0275,S00340,0.91,4,83,Bollywood,44.59,Morning
U00341,C0276,S00341,1.96,4,61,Documentary,24.64,Evening
U00342,C0277,S00342,2.17,11,6,Documentary,79.96,Evening
U00343,C0278,S00343,0.9,2,31,Web Series,54.62,Night
U00344,C0278,S00344,2.52,13,2,Kids,89.62,Night
U00345,C0279,S00345,0.75,2,40,News,51.81,Night
U00346,C0279,S00346,5.0,9,1,Bollywood,75.88,Evening
U00347,C0280,S00347,2.15,1,77,Sports,53.01,Evening
U00348,C0281,S00348,3.88,8,11,Web Series,62.43,Morning
U00349,C0282,S00349,1.73,4,46,Kids,18.88,Night
U00350,C0283,S00350,1.07,4,82,Web Series,,Night
U00351,C0284,S00351,3.86,12,7,Sports,91.62,Evening
U00352,C0285,S00352,0.85,,31,News,23.32,Afternoon
U00353,C0286,S00353,1.51,5,78,Regional Cinema,16.46,Morning
U00354,C0287,S00354,2.31,11,10,Regional Cinema,95.56,Afternoon
U00355,C0288,S00355,1.27,5,22,Documentary,35.5,Night
U00356,C0288,S00356,2.31,1,40,Kids,27.29,Night
U00357,C0289,S00357,2.29,2,79,Web Series,52.78,Afternoon
U00358,C0290,S00358,2.76,10,8,News,85.59,Morning
U00359,C0291,S00359,1.07,3,35,Sports,50.22,Evening
U00360,C0292,S00360,3.14,4,6,Regional Cinema,55.29,Night
U00361,C0292,S00361,2.74,4,11,Regional Cinema,95.57,Afternoon
U00362,C0293,S00362,2.57,8,13,Kids,78.11,Afternoon
U00363,C0294,S00363,3.58,11,10,Web Series,88.74,Afternoon
U00364,C0295,S00364,2.03,3,26,Documentary,32.56,Evening
U00365,C0296,S00365,3.65,15,4,Web Series,72.22,Night
U00366,C0296,S00366,0.82,5,22,Web Series,29.27,Morning
U00367,C0297,S00367,1.26,4,51,Sports,38.07,Evening
U00368,C0298,S00368,2.9,6,11,Regional Cinema,96.62,Night
U00369,C0299,S00369,4.26,9,1,Documentary,94.27,Afternoon
U00370,C0299,S00370,-0.72,10,3,News,,Morning
U00371,C0300,S00371,1.95,4,79,News,40.34,Afternoon
U00372,C0301,S00372,0.75,2,80,Sports,24.58,Morning
U00373,C0301,S00373,1.85,5,13,Kids,,Night
U00374,C0302,S00374,0.31,3,53,Regional Cinema,47.61,Afternoon
U00375,C0303,S00375,1.73,1,23,Web Series,45.9,Evening
U00376,C0304,S00376,1.84,12,10,News,96.03,Morning
U00377,C0305,S00377,4.07,9,7,Bollywood,59.2,Morning
U00378,C0306,S00378,2.28,14,5,News,88.59,Night
U00379,C0306,S00379,2.82,5,7,Regional Cinema,74.78,Night
U00380,C0307,S00380,4.09,13,12,Documentary,58.96,Afternoon
U00381,C0308,S00381,0.8,3,85,Sports,39.19,Afternoon
U00382,C0309,S00382,3.73,5,6,Bollywood,91.21,Evening
U00383,C0310,S00383,1.93,15,0,News,58.73,Night
U00384,C0311,S00384,1.82,10,7,Web Series,58.99,Morning
U00385,C0312,S00385,1.7,9,13,Web Series,80.89,Afternoon
U00386,C0313,S00386,1.6,10,7,Web Series,93.72,Evening
U00387,C0314,S00387,4.94,6,0,Bollywood,85.06,Night
U00388,C0314,S00388,1.41,5,39,Kids,35.99,Morning
U00389,C0315,S00389,1.85,14,3,Documentary,81.36,Afternoon
U00390,C0316,S00390,3.53,11,7,Regional Cinema,75.5,Evening
U00391,C0317,S00391,5.02,7,5,Web Series,95.75,Morning
U00392,C0318,S00392,2.48,2,90,Web Series,32.65,Morning
U00393,C0319,S00393,3.35,5,9,Regional Cinema,76.15,Morning
U00394,C0320,S00394,4.92,12,3,Documentary,71.44,Morning
U00395,C0321,S00395,0.84,5,49,Documentary,30.49,Night
U00396,C0321,S00396,3.01,4,10,Regional Cinema,72.45,Evening
U00397,C0322,S00397,4.8,7,12,Regional Cinema,86.36,Evening
U00398,C0323,S00398,1.93,3,63,News,25.68,Morning
U00399,C0324,S00399,3.24,5,2,Kids,,Afternoon
U00400,C0325,S00400,1.26,1,16,News,18.37,Morning
U00401,C0325,S00401,1.53,4,35,News,39.1,Afternoon
U00402,C0326,S00402,2.28,13,1,Web Series,81.84,Afternoon
U00403,C0326,S00403,2.35,2,75,Kids,41.18,Night
U00404,C0327,S00404,4.19,15,3,Documentary,67.56,Afternoon
U00405,C0328,S00405,1.65,5,58,Web Series,50.7,Night
U00406,C0328,S00406,3.76,9,9,Documentary,79.27,Morning
U00407,C0329,S00407,4.58,12,5,Documentary,86.04,Evening
U00408,C0329,S00408,3.96,8,12,News,60.81,Evening
U00409,C0330,S00409,1.13,5,77,Documentary,50.13,Morning
U00410,C0331,S00410,2.03,5,16,News,21.23,Morning
U00411,C0332,S00411,4.92,8,0,News,74.26,Afternoon
U00412,C0333,S00412,1.76,5,0,Web Series,56.51,Night
U00413,C0334,S00413,2.49,11,3,Sports,89.58,Morning
U00414,C0335,S00414,2.62,4,9,Kids,82.06,Afternoon
U00415,C0336,S00415,2.2,4,3,Documentary,61.74,Morning
U00416,C0336,S00416,2.5,6,11,Bollywood,75.38,Evening
U00417,C0337,S00417,1.75,7,6,Bollywood,88.85,Night
U00418,C0337,S00418,3.39,5,12,Kids,63.77,Night
U00419,C0338,S00419,2.4,5,8,Bollywood,86.21,Night
U00420,C0338,S00420,1.8,2,41,Bollywood,32.85,Evening
U00421,C0339,S00421,3.44,11,7,News,79.63,Afternoon
