subscription_id,customer_id,plan_id,start_date,end_date,tenure_months,renewal_count,churn_flag,churn_reason
S00132,C0107,P001,2023-04-30,2023-09-27,5,0,1,
S00133,C0108,P001,2024-05-09,2024-12-05,7,0,0,
S00134,C0109,P002,2024-06-18,2024-07-18,1,0,1,Switched to free platform
S00135,C0110,P001,2024-01-02,2024-08-29,8,0,1,Poor customer support
S00136,C0111,P002,2023-07-19,2024-08-12,13,0,0,
S00137,C0111,P002,2024-08-24,2024-10-23,2,1,1,Switched to free platform
S00138,C0112,P001,2024-10-24,2024-12-23,2,0,1,High subscription price
S00139,C0113,P001,2024-02-01,2024-11-27,10,0,1,Poor customer support
S00140,C0114,P001,2024-05-18,2024-10-15,5,0,0,
S00141,C0115,P004,2024-04-04,2024-10-31,7,0,0,
S00142,C0115,P003,2024-11-15,2024-12-15,1,1,1,No new content added
S00143,C0116,P004,2024-08-08,2024-12-06,4,0,1,Poor customer support
S00144,C0116,P002,2024-12-22,2025-01-21,1,1,1,High subscription price
S00145,C0117,P002,2023-05-29,2024-11-19,18,0,0,
S00146,C0118,P002,2023-08-05,2024-09-28,14,0,1,Found better OTT platform
S00147,C0118,P001,2024-10-20,2024-11-19,1,1,1,Switched to free platform
S00148,C0119,P001,2024-11-05,2024-12-05,1,0,0,
S00149,C0120,P001,2023-01-20,2024-09-11,20,0,1,High subscription price
S00150,C0121,P002,2024-04-01,2024-05-01,1,0,0,
S00151,C0122,P002,2023-01-30,2023-10-27,9,0,0,
S00152,C0123,P003,2024-02-01,2024-11-27,10,0,0,
S00153,C0124,P001,2023-11-19,2024-01-18,2,0,1,Frequent buffering issues
S00154,C0125,P002,2024-06-02,2024-12-29,7,0,1,Switched to free platform
S00155,C0126,P004,2023-09-25,2024-06-21,9,0,1,High subscription price
S00156,C0126,P004,2024-06-27,2024-10-25,4,1,0,
S00157,C0127,P001,2023-03-24,2023-12-19,9,0,1,No new content added
S00158,C0128,P001,2024-04-29,2024-12-25,8,0,1,High subscription price
S00159,C0129,P002,2023-10-19,2024-02-16,4,0,1,Frequent buffering issues
S00160,C0130,P001,2023-12-09,2024-09-04,9,0,0,
S00161,C0131,P002,2024-09-11,2024-10-11,1,0,1,High subscription price
S00162,C0132,P004,2023-03-13,2023-07-11,4,0,0,
S00163,C0133,P002,2023-05-15,2024-12-05,19,0,0,
S00164,C0134,P001,2024-09-24,2024-12-23,3,0,1,Poor regional content
S00165,C0135,P001,2023-01-31,2023-08-29,7,0,0,
S00166,C0135,P003,2023-09-11,2024-11-04,14,1,0,
S00167,C0136,P001,2023-06-30,2023-09-28,3,0,1,Switched to free platform
S00168,C0137,P002,2023-12-09,2024-10-04,10,0,0,
S00169,C0138,P001,2024-03-25,2024-07-23,4,0,1,
S00170,C0139,P003,2023-08-24,2024-04-20,8,0,0,
S00171,C0139,P003,2024-05-12,2024-10-09,5,1,1,Found better OTT platform
S00172,C0140,P001,2024-02-07,2024-06-06,4,0,1,Poor customer support
S00173,C0141,P003,2023-06-24,2024-11-15,17,0,0,
S00174,C0142,P001,2023-04-17,2024-09-08,17,0,0,
S00175,C0143,P001,2023-10-04,2024-04-01,6,0,1,No new content added
S00176,C0143,P003,2024-04-10,2024-07-09,3,1,0,
S00177,C0144,P002,2023-03-07,2024-05-30,15,0,1,Switched to free platform
S00178,C0145,P002,2024-09-29,2024-12-28,3,0,1,Poor regional content
S00179,C0146,P004,2024-06-20,2024-09-18,3,0,0,
S00180,C0147,P002,2023-06-07,2024-12-28,19,0,0,
S00181,C0148,P003,2023-10-07,2024-10-31,13,0,1,High subscription price
S00182,C0149,P004,2023-09-19,2024-12-12,15,0,0,
S00183,C0149,P002,2024-12-20,2025-01-19,1,1,0,
S00184,C0150,P003,2024-04-30,2024-12-26,8,0,0,
S00185,C0151,P001,2023-01-10,2023-03-11,2,0,0,
S00186,C0152,P004,2023-12-14,2024-03-13,3,0,0,
S00187,C0153,P002,2023-07-19,2024-05-14,10,0,1,Found better OTT platform
S00188,C0153,P001,2024-05-23,2024-06-22,1,1,1,Technical issues with app
S00189,C0154,P002,2024-03-07,2024-10-03,7,0,0,
S00190,C0155,P001,2023-12-21,2024-10-16,10,0,1,Frequent buffering issues
S00191,C0156,P002,2024-02-24,2024-11-20,9,0,0,
S00192,C0157,P003,2023-11-19,2024-09-14,10,0,0,
S00193,C0158,P004,2023-08-05,2024-07-30,12,0,1,High subscription price
S00194,C0159,P003,2024-10-14,2024-11-13,1,0,0,
S00195,C0160,P001,2023-11-02,2024-07-29,9,0,1,
S00196,C0160,P002,2024-08-26,2024-10-25,2,1,1,Poor regional content
S00197,C0161,P003,2023-02-10,2024-12-01,22,0,1,No new content added
S00198,C0162,P003,2024-02-02,2024-11-28,10,0,0,
S00199,C0162,P003,2024-12-13,2025-01-12,1,1,1,High subscription price
S00200,C0163,P002,2023-03-08,2024-02-01,11,0,1,Found better OTT platform
S00201,C0164,P003,2023-06-21,2024-08-14,14,0,1,Technical issues with app
S00202,C0164,P004,2024-08-22,2024-12-20,4,1,1,Found better OTT platform
S00203,C0165,P002,2024-02-21,2024-04-21,2,0,0,
S00204,C0165,P001,2024-05-12,2024-12-08,7,1,1,Poor customer support
S00205,C0166,P004,2023-05-04,2024-10-25,18,0,0,
S00206,C0167,P004,2023-12-14,2024-04-12,4,0,0,
S00207,C0168,P002,2024-06-05,2024-10-03,4,0,1,No new content added
S00208,C0168,P001,2024-10-08,2024-12-07,2,1,1,No new content added
S00209,C0169,P001,2024-11-01,2024-12-31,2,0,0,
S00210,C0170,P003,2023-10-21,2024-03-19,5,0,0,
S00211,C0171,P002,2024-07-25,2024-09-23,2,0,1,High subscription price
S00212,C0171,P002,2024-09-28,2024-12-27,3,1,1,Frequent buffering issues
S00213,C0172,P001,2023-06-18,2023-07-18,1,0,1,No new content added
S00214,C0173,P001,2024-03-01,2024-11-26,9,0,0,
S00215,C0173,P002,2024-12-10,2025-01-09,1,1,1,
S00216,C0174,P002,2024-02-04,2024-10-31,9,0,0,
S00217,C0175,P002,2024-03-21,2024-12-16,9,0,0,
S00218,C0176,P004,2023-01-08,2023-09-05,8,0,1,No new content added
S00219,C0177,P001,2024-10-14,2024-11-13,1,0,1,Frequent buffering issues
S00220,C0178,P003,2023-05-04,2024-09-25,17,0,1,Poor regional content
S00221,C0179,P004,2023-11-17,2024-12-11,13,0,0,
S00222,C0180,P001,2024-09-22,2024-12-21,3,0,1,No new content added
S00223,C0181,P001,2023-08-15,2023-09-14,1,0,1,High subscription price
S00224,C0182,P001,2023-06-19,2024-10-11,16,0,1,Poor customer support
S00225,C0183,P004,2023-02-11,2024-11-02,21,0,0,
S00226,C0184,P002,2024-06-02,2024-09-30,4,0,0,
S00227,C0185,P003,2023-09-16,2024-06-12,9,0,1,High subscription price
S00228,C0186,P003,2024-09-15,2024-10-15,1,0,0,
S00229,C0187,P002,2023-02-19,2024-03-15,13,0,1,No new content added
S00230,C0188,P002,2024-08-20,2024-11-18,3,0,0,
S00231,C0188,P003,2024-11-29,2024-12-29,1,1,1,Found better OTT platform
S00232,C0189,P002,2024-10-30,2024-11-29,1,0,1,Frequent buffering issues
S00233,C0190,P003,2023-05-02,2024-02-26,10,0,0,
S00234,C0190,P003,2024-03-03,2024-11-28,9,1,0,
S00235,C0191,P001,2024-09-17,2024-11-16,2,0,0,
S00236,C0192,P004,2023-09-06,2024-12-29,16,0,0,
S00237,C0193,P001,2023-10-24,2024-02-21,4,0,0,
S00238,C0194,P002,2023-09-28,2024-01-26,4,0,0,
S00239,C0194,P002,2024-02-25,2024-12-21,10,1,1,Switched to free platform
S00240,C0195,P001,2023-10-05,2023-11-04,1,0,1,No new content added
S00241,C0196,P003,2023-05-12,2024-09-03,16,0,0,
S00242,C0197,P001,2023-02-06,2024-05-31,16,0,0,
S00243,C0197,P003,2024-06-27,2024-08-26,2,1,0,
S00244,C0198,P003,2023-07-09,2024-03-05,8,0,0,
S00245,C0198,P004,2024-03-24,2024-04-23,1,1,0,
S00246,C0199,P003,2023-05-28,2024-10-19,17,0,0,
S00247,C0200,P003,2023-12-26,2024-11-20,11,0,1,Technical issues with app
S00248,C0201,P001,2023-03-28,2024-05-21,14,0,0,
S00249,C0202,P001,2024-05-07,2024-06-06,1,0,0,
S00250,C0203,P003,2024-05-12,2024-09-09,4,0,0,
S00251,C0203,P002,2024-09-28,2024-10-28,1,1,1,Switched to free platform
S00252,C0204,P003,2023-11-13,2024-02-11,3,0,1,Switched to free platform
S00253,C0205,P003,2024-10-31,2024-11-30,1,0,0,
S00254,C0205,P003,2024-12-13,2025-01-12,1,1,1,No new content added
S00255,C0206,P004,2024-10-07,2024-12-06,2,0,0,
S00256,C0207,P002,2024-04-20,2024-06-19,2,0,0,
S00257,C0208,P003,2023-04-09,2024-03-04,11,0,0,
S00258,C0209,P001,2023-10-10,2023-12-09,2,0,0,
S00259,C0209,P003,2023-12-19,2024-04-17,4,1,0,
S00260,C0210,P001,2024-05-20,2024-06-19,1,0,1,Frequent buffering issues
S00261,C0211,P001,2024-09-05,2024-12-04,3,0,1,Poor regional content
S00262,C0212,P004,2024-07-28,2024-11-25,4,0,0,
S00263,C0213,P002,2024-01-14,2024-07-12,6,0,0,
S00264,C0214,P002,2023-04-23,2024-11-13,19,0,0,
S00265,C0215,P001,2024-07-01,2024-07-31,1,0,1,No new content added
S00266,C0216,P003,2023-01-08,2023-11-04,10,0,0,
S00267,C0217,P001,2024-07-28,2024-11-25,4,0,1,Switched to free platform
S00268,C0217,P002,2024-12-09,2025-01-08,1,1,0,
S00269,C0218,P001,2024-08-15,2024-11-13,3,0,1,Found better OTT platform
S00270,C0219,P003,2024-05-29,2024-12-25,7,0,0,
S00271,C0220,P003,2023-05-14,2024-08-06,15,0,1,Found better OTT platform
S00272,C0220,P004,2024-08-14,2024-11-12,3,1,0,
S00273,C0221,P001,2023-02-04,2024-06-28,17,0,1,Poor customer support
S00274,C0222,P004,2023-08-07,2024-11-29,16,0,0,
S00275,C0223,P002,2024-02-06,2024-12-02,10,0,0,
S00276,C0224,P002,2023-09-13,2024-10-07,13,0,0,
S00277,C0224,P002,2024-10-17,2024-12-16,2,1,1,High subscription price
S00278,C0225,P003,2024-01-27,2024-06-25,5,0,0,
S00279,C0226,P001,2023-11-22,2024-03-21,4,0,0,
S00280,C0227,P002,2023-08-28,2024-12-20,16,0,1,Technical issues with app
S00281,C0228,P003,2024-02-27,2024-06-26,4,0,0,
S00282,C0229,P003,2023-02-16,2023-03-18,1,0,0,
S00283,C0230,P004,2023-06-01,2024-04-26,11,0,0,
S00284,C0231,P001,2024-02-05,2024-06-04,4,0,1,No new content added
S00285,C0232,P001,2023-01-06,2024-03-31,15,0,1,Technical issues with app
S00286,C0233,P002,2023-02-25,2023-09-23,7,0,1,No new content added
S00287,C0233,P004,2023-10-12,2024-06-08,8,1,0,
S00288,C0234,P002,2023-04-09,2024-10-30,19,0,1,Switched to free platform
S00289,C0235,P001,2023-04-06,2023-05-06,1,0,0,
S00290,C0235,P004,2023-05-22,2024-09-13,16,1,0,
S00291,C0236,P004,2023-08-11,2024-05-07,9,0,1,High subscription price
S00292,C0237,P002,2023-07-09,2024-07-03,12,0,0,
S00293,C0237,P004,2024-07-31,2024-08-30,1,1,1,Technical issues with app
S00294,C0238,P002,2023-03-11,2023-08-08,5,0,0,
S00295,C0238,P001,2023-08-30,2024-03-27,7,1,1,High subscription price
S00296,C0239,P002,2023-11-12,2024-09-07,10,0,1,Found better OTT platform
S00297,C0240,P001,2024-06-18,2024-10-16,4,0,0,
S00298,C0241,P004,2023-10-18,2024-02-15,4,0,0,
S00299,C0241,P001,2024-02-23,2024-04-23,2,1,1,High subscription price
S00300,C0242,P002,2023-04-28,2024-03-23,11,0,1,Frequent buffering issues
S00301,C0243,P001,2024-09-24,2024-12-23,3,0,1,Switched to free platform
S00302,C0244,P002,2023-12-08,2024-11-02,11,0,1,No new content added
S00303,C0244,P002,2024-11-21,2024-12-21,1,1,1,No new content added
S00304,C0245,P003,2023-03-28,2024-08-19,17,0,0,
S00305,C0245,P001,2024-08-24,2024-09-23,1,1,1,
S00306,C0246,P001,2024-10-17,2024-12-16,2,0,1,Technical issues with app
S00307,C0247,P002,2023-03-05,2024-03-29,13,0,1,Found better OTT platform
S00308,C0247,P001,2024-04-17,2024-06-16,2,1,1,No new content added
S00309,C0248,P001,2023-06-10,2024-10-02,16,0,1,Poor customer support
S00310,C0249,P001,2024-02-04,2024-07-03,5,0,0,
S00311,C0250,P002,2024-04-26,2024-05-26,1,0,1,High subscription price
S00312,C0251,P001,2023-11-03,2024-02-01,3,0,0,
S00313,C0252,P002,2023-01-24,2024-01-19,12,0,1,Technical issues with app
S00314,C0253,P001,2023-08-04,2024-11-26,16,0,1,High subscription price
S00315,C0253,P004,2024-12-04,2025-01-03,1,1,0,
S00316,C0254,P001,2023-11-24,2024-01-23,2,0,1,Poor regional content
S00317,C0255,P001,2023-11-25,2024-01-24,2,0,1,Frequent buffering issues
S00318,C0256,P001,2023-04-07,2024-03-02,11,0,1,
S00319,C0257,P004,2023-07-10,2024-05-05,10,0,1,Frequent buffering issues
S00320,C0258,P003,2023-01-02,2023-09-29,9,0,1,High subscription price
S00321,C0259,P001,2024-10-18,2024-11-17,1,0,0,
S00322,C0260,P002,2024-02-07,2024-10-04,8,0,0,
S00323,C0260,P004,2024-10-26,2024-12-25,2,1,1,Found better OTT platform
S00324,C0261,P001,2023-02-17,2024-02-12,12,0,1,Technical issues with app
S00325,C0262,P002,2024-10-05,2024-11-04,1,0,1,Poor customer support
S00326,C0263,P002,2024-02-25,2024-10-22,8,0,0,
S00327,C0264,P002,2024-09-28,2024-12-27,3,0,1,
S00328,C0265,P003,2024-06-04,2024-10-02,4,0,0,
S00329,C0266,P004,2023-03-03,2023-09-29,7,0,0,
S00330,C0267,P002,2023-09-01,2024-09-25,13,0,0,
S00331,C0268,P002,2023-10-04,2023-12-03,2,0,0,
S00332,C0269,P003,2024-04-20,2024-11-16,7,0,0,
S00333,C0270,P001,2024-04-10,2024-05-10,1,0,1,Poor customer support
S00334,C0271,P002,2024-08-15,2024-10-14,2,0,1,Frequent buffering issues
S00335,C0272,P004,2023-03-27,2024-09-17,18,0,1,High subscription price
S00336,C0272,P003,2024-10-05,2024-12-04,2,1,1,High subscription price
S00337,C0273,P002,2024-08-27,2024-10-26,2,0,0,
S00338,C0274,P003,2023-03-17,2023-05-16,2,0,0,
S00339,C0275,P003,2024-03-30,2024-07-28,4,0,0,
S00340,C0275,P001,2024-08-09,2024-10-08,2,1,1,Found better OTT platform
S00341,C0276,P001,2023-08-31,2023-10-30,2,0,1,Switched to free platform
S00342,C0277,P003,2024-07-30,2024-08-29,1,0,0,
S00343,C0278,P001,2024-08-12,2024-12-10,4,0,1,
S00344,C0278,P003,2024-12-24,2025-01-23,1,1,0,
S00345,C0279,P001,2023-10-21,2024-06-17,8,0,1,High subscription price
S00346,C0279,P003,2024-07-11,2024-12-08,5,1,0,
S00347,C0280,P001,2024-08-06,2024-10-05,2,0,1,Technical issues with app
S00348,C0281,P003,2024-01-29,2024-08-26,7,0,0,
S00349,C0282,P001,2024-10-26,2024-12-25,2,0,1,Technical issues with app
S00350,C0283,P002,2023-10-03,2024-01-01,3,0,1,High subscription price
S00351,C0284,P002,2023-11-23,2023-12-23,1,0,0,
S00352,C0285,P001,2024-03-03,2024-07-01,4,0,1,
S00353,C0286,P002,2024-09-06,2024-10-06,1,0,1,Poor regional content
S00354,C0287,P004,2024-06-14,2024-09-12,3,0,0,
S00355,C0288,P003,2024-08-11,2024-11-09,3,0,1,Poor customer support
S00356,C0288,P002,2024-12-01,2024-12-31,1,1,1,Technical issues with app
S00357,C0289,P001,2023-08-25,2024-04-21,8,0,1,High subscription price
S00358,C0290,P001,2024-07-24,2024-10-22,3,0,0,
S00359,C0291,P002,2023-07-28,2023-10-26,3,0,1,Found better OTT platform
S00360,C0292,P001,2023-09-02,2024-03-30,7,0,0,
S00361,C0292,P002,2024-04-25,2024-05-25,1,1,0,
S00362,C0293,P001,2023-10-03,2024-03-01,5,0,0,
S00363,C0294,P002,2023-05-03,2024-03-28,11,0,0,
S00364,C0295,P001,2024-08-30,2024-09-29,1,0,1,Poor regional content
S00365,C0296,P001,2024-03-11,2024-12-06,9,0,0,
S00366,C0296,P002,2024-12-23,2025-01-22,1,1,1,Frequent buffering issues
S00367,C0297,P003,2024-05-30,2024-09-27,4,0,1,Frequent buffering issues
S00368,C0298,P004,2024-10-29,2024-12-28,2,0,0,
S00369,C0299,P004,2024-08-07,2024-10-06,2,0,0,
S00370,C0299,P002,2024-10-23,2024-12-22,2,1,0,
S00371,C0300,P002,2023-09-13,2023-12-12,3,0,1,High subscription price
S00372,C0301,P003,2023-04-12,2023-11-08,7,0,1,Frequent buffering issues
S00373,C0301,P001,2023-12-08,2024-08-04,8,1,0,
S00374,C0302,P001,2023-10-14,2024-10-08,12,0,1,High subscription price
S00375,C0303,P001,2023-09-25,2024-05-22,8,0,1,Frequent buffering issues
S00376,C0304,P002,2024-03-04,2024-06-02,3,0,0,
S00377,C0305,P004,2023-05-02,2024-04-26,12,0,0,
S00378,C0306,P001,2024-10-30,2024-11-29,1,0,0,
S00379,C0306,P002,2024-12-24,2025-01-23,1,1,0,
S00380,C0307,P001,2023-09-30,2024-07-26,10,0,0,
S00381,C0308,P003,2024-11-02,2024-12-02,1,0,1,Technical issues with app
S00382,C0309,P004,2023-02-22,2024-02-17,12,0,0,
S00383,C0310,P004,2023-02-18,2024-01-14,11,0,0,
S00384,C0311,P003,2023-06-24,2024-02-19,8,0,0,
S00385,C0312,P004,2023-01-12,2023-06-11,5,0,0,
S00386,C0313,P004,2024-10-14,2024-12-13,2,0,0,
S00387,C0314,P004,2024-02-19,2024-04-19,2,0,0,
S00388,C0314,P002,2024-05-03,2024-10-30,6,1,1,Poor regional content
S00389,C0315,P001,2024-09-09,2024-12-08,3,0,0,
S00390,C0316,P003,2023-11-08,2024-09-03,10,0,0,
S00391,C0317,P001,2023-04-03,2023-11-29,8,0,0,
S00392,C0318,P001,2024-02-27,2024-11-23,9,0,1,Frequent buffering issues
S00393,C0319,P004,2024-07-08,2024-08-07,1,0,0,
S00394,C0320,P001,2024-10-07,2024-11-06,1,0,0,
S00395,C0321,P002,2023-05-08,2024-03-03,10,0,1,High subscription price
S00396,C0321,P002,2024-03-25,2024-06-23,3,1,0,
S00397,C0322,P003,2024-11-06,2024-12-06,1,0,0,
S00398,C0323,P001,2023-07-08,2024-08-31,14,0,1,
S00399,C0324,P002,2023-04-25,2024-09-16,17,0,0,
S00400,C0325,P003,2023-01-15,2024-10-06,21,0,1,Technical issues with app
