payment_id,customer_id,subscription_id,transaction_id,payment_date,amount_inr,payment_status,payment_method,failed_attempts
PAY000031,C0007,S00009,TXN0000031,2023-08-04,149,Success,Credit Card,0
PAY000032,C0007,S00009,TXN0000032,2023-09-03,149,Success,Net Banking,0
PAY000033,C0007,S00009,TXN0000033,2023-10-03,149,Success,Jio Money,0
PAY000034,C0007,S00009,TXN0000034,2023-11-02,149,Success,UPI,0
PAY000035,C0007,S00009,TXN0000035,2023-12-02,149,Success,Credit Card,0
PAY000036,C0007,S00009,TXN0000036,2024-01-01,149,Success,UPI,0
PAY000037,C0007,S00009,TXN0000037,31/01/2024,149,Success,Jio Money,0
PAY000038,C0007,S00009,TXN0000038,2024-03-01,149,Success,Paytm,0
PAY000039,C0007,S00009,TXN0000039,2024-03-31,149,Success,Jio Money,0
PAY000040,C0007,S00009,TXN0000040,2024-04-30,199,Success,UPI,0
PAY000041,C0007,S00009,TXN0000041,2024-05-30,149,Success,Net Banking,0
PAY000042,C0007,S00009,TXN0000042,2024-06-29,149,Success,UPI,0
PAY000043,C0007,S00009,TXN0000043,2024-07-29,149,Success,UPI,0
PAY000044,C0007,S00009,TXN0000044,2024-08-28,149,Success,Net Banking,0
PAY000045,C0007,S00009,TXN0000045,2024-09-27,149,Failed,Credit Card,3
PAY000046,C0007,S00009,TXN0000046,27/10/2024,149,Success,UPI,0
PAY000047,C0007,S00009,TXN0000047,2024-11-26,149,Failed,UPI,2
PAY000048,C0008,S00010,TXN0000048,2024-07-08,299,Success,Credit Card,0
PAY000049,C0008,S00010,TXN0000049,2024-08-07,299,Success,UPI,0
PAY000050,C0008,S00010,TXN0000050,2024-09-06,299,Failed,Debit Card,3
PAY000051,C0008,S00011,TXN0000051,2024-11-04,299,Success,Jio Money,0
PAY000052,C0009,S00012,TXN0000052,2023-07-07,799,Success,Debit Card,0
PAY000053,C0010,S00013,TXN0000053,20/10/2023,499,Success,Jio Money,0
PAY000054,C0010,S00013,TXN0000054,2023-11-19,499,Success,Paytm,0
PAY000055,C0010,S00013,TXN0000055,2023-12-19,499,Success,Credit Card,0
PAY000056,C0010,S00013,TXN0000056,2024-01-18,499,Failed,Debit Card,3
PAY000057,C0010,S00013,TXN0000057,2024-02-17,499,Pending,Credit Card,0
PAY000058,C0010,S00013,TXN0000058,2024-03-18,499,Success,Debit Card,0
PAY000059,C0010,S00013,TXN0000059,2024-04-17,499,Success,Credit Card,0
PAY000060,C0010,S00013,TXN0000060,2024-05-17,499,Success,Credit Card,0
PAY000061,C0010,S00013,TXN0000061,2024-06-16,499,Success,Paytm,0
PAY000062,C0010,S00014,TXN0000062,2024-07-28,499,Success,UPI,0
PAY000063,C0010,S00014,TXN0000063,27/08/2024,499,Success,UPI,0
PAY000064,C0010,S00014,TXN0000064,2024-09-26,499,Success,UPI,0
PAY000065,C0010,S00014,TXN0000065,2024-10-26,499,Success,UPI,0
PAY000066,C0010,S00014,TXN0000066,2024-11-25,499,Success,Debit Card,0
PAY000067,C0011,S00015,TXN0000067,2023-03-13,298,Success,Credit Card,0
PAY000068,C0011,S00015,TXN0000068,2023-04-12,149,Success,Debit Card,0
PAY000069,C0011,S00015,TXN0000069,12/05/2023,99,Failed,Credit Card,3
PAY000070,C0011,S00015,TXN0000070,2023-06-11,149,Success,Net Banking,0
PAY000071,C0011,S00015,TXN0000071,2023-07-11,149,Failed,Jio Money,3
PAY000072,C0011,S00015,TXN0000072,2023-08-10,149,Success,Credit Card,0
PAY000073,C0011,S00015,TXN0000073,2023-09-09,149,Success,Jio Money,0
PAY000074,C0011,S00015,TXN0000074,2023-10-09,149,Success,Debit Card,0
PAY000075,C0011,S00015,TXN0000075,08/11/2023,99,Success,Credit Card,0
PAY000076,C0011,S00015,TXN0000076,2023-12-08,149,Success,UPI,0
PAY000077,C0011,S00015,TXN0000077,2024-01-07,149,Success,Debit Card,0
PAY000078,C0011,S00015,TXN0000078,2024-02-06,149,Success,UPI,0
PAY000079,C0012,S00016,TXN0000079,2023-01-20,499,Success,UPI,0
PAY000080,C0012,S00016,TXN0000080,2023-02-19,499,Failed,Credit Card,2
PAY000081,C0012,S00016,TXN0000081,2023-03-21,499,Success,Net Banking,0
PAY000082,C0012,S00016,TXN0000082,2023-04-20,499,Success,Debit Card,0
PAY000083,C0012,S00016,TXN0000083,2023-05-20,499,Success,Credit Card,0
PAY000084,C0012,S00016,TXN0000084,2023-06-19,499,Success,UPI,0
PAY000085,C0012,S00016,TXN0000085,2023-07-19,499,Failed,Credit Card,1
PAY000086,C0012,S00016,TXN0000086,2023-08-18,499,Pending,UPI,0
PAY000087,C0012,S00016,TXN0000087,17/09/2023,499,Success,Jio Money,0
PAY000088,C0012,S00016,TXN0000088,2023-10-17,499,Success,UPI,0
PAY000089,C0012,S00016,TXN0000089,2023-11-16,499,Failed,Jio Money,1
PAY000090,C0012,S00016,TXN0000090,2023-12-16,499,Success,UPI,0
PAY000091,C0012,S00016,TXN0000091,2024-01-15,499,Pending,Paytm,1
PAY000092,C0012,S00016,TXN0000092,2024-02-14,499,Failed,,3
PAY000093,C0012,S00016,TXN0000093,2024-03-15,499,Success,UPI,0
PAY000094,C0012,S00017,TXN0000094,2024-04-28,149,Failed,,1
PAY000095,C0013,S00018,TXN0000095,2023-10-08,149,Success,Jio Money,0
PAY000096,C0013,S00018,TXN0000096,2023-11-07,149,Success,UPI,0
PAY000097,C0013,S00018,TXN0000097,2023-12-07,149,Success,Paytm,0
PAY000098,C0014,S00019,TXN0000098,17/06/2023,149,Success,UPI,0
PAY000099,C0014,S00019,TXN0000099,2023-07-17,149,Pending,Jio Money,0
PAY000100,C0014,S00019,TXN0000100,2023-08-16,149,Success,Jio Money,0
PAY000101,C0014,S00019,TXN0000101,15/09/2023,149,Success,Credit Card,0
PAY000102,C0014,S00019,TXN0000102,2023-10-15,149,Success,UPI,0
PAY000103,C0014,S00019,TXN0000103,2023-11-14,149,Success,,0
PAY000104,C0014,S00019,TXN0000104,2023-12-14,149,Success,Debit Card,0
PAY000105,C0014,S00019,TXN0000105,2024-01-13,149,Success,Net Banking,0
PAY000106,C0014,S00019,TXN0000106,2024-02-12,149,Pending,,1
PAY000107,C0014,S00019,TXN0000107,2024-03-13,149,Success,,0
PAY000108,C0014,S00019,TXN0000108,2024-04-12,149,Success,UPI,0
PAY000109,C0014,S00019,TXN0000109,2024-05-12,149,Success,UPI,0
PAY000110,C0014,S00019,TXN0000110,2024-06-11,149,Failed,UPI,1
PAY000111,C0014,S00019,TXN0000111,2024-07-11,149,Failed,UPI,1
PAY000112,C0014,S00019,TXN0000112,2024-08-10,149,Success,Credit Card,0
PAY000113,C0015,S00020,TXN0000113,2024-09-30,299,Failed,Debit Card,3
PAY000114,C0015,S00021,TXN0000114,2024-11-23,299,Success,Credit Card,0
PAY000115,C0016,S00022,TXN0000115,2023-08-22,149,Success,Paytm,0
PAY000116,C0016,S00022,TXN0000116,2023-09-21,149,Success,UPI,0
PAY000117,C0016,S00022,TXN0000117,2023-10-21,149,Success,Debit Card,0
PAY000118,C0016,S00022,TXN0000118,2023-11-20,149,Success,Jio Money,0
PAY000119,C0016,S00022,TXN0000119,2023-12-20,149,Success,Debit Card,0
PAY000120,C0016,S00022,TXN0000120,2024-01-19,149,Pending,UPI,0
PAY000121,C0016,S00022,TXN0000121,2024-02-18,149,Failed,UPI,2
PAY000122,C0016,S00022,TXN0000122,2024-03-19,149,Success,UPI,0
PAY000123,C0016,S00022,TXN0000123,2024-04-18,149,Success,Credit Card,0
PAY000124,C0016,S00022,TXN0000124,2024-05-18,149,Success,,0
PAY000125,C0016,S00022,TXN0000125,2024-06-17,149,Success,UPI,0
PAY000126,C0016,S00022,TXN0000126,2024-07-17,149,Success,Net Banking,0
PAY000127,C0016,S00022,TXN0000127,2024-08-16,149,Success,UPI,0
PAY000128,C0016,S00022,TXN0000128,2024-09-15,149,Success,Credit Card,0
PAY000129,C0016,S00022,TXN0000129,2024-10-15,149,Failed,Credit Card,2
PAY000130,C0016,S00022,TXN0000130,2024-11-14,149,Pending,UPI,1
PAY000131,C0017,S00023,TXN0000131,2024-03-29,149,Success,Net Banking,0
PAY000132,C0017,S00023,TXN0000132,2024-04-28,149,Success,Jio Money,0
PAY000133,C0017,S00023,TXN0000133,2024-05-28,149,Success,Debit Card,0
PAY000134,C0017,S00023,TXN0000134,2024-06-27,149,Success,Credit Card,0
PAY000135,C0017,S00023,TXN0000135,2024-07-27,149,Success,UPI,0
PAY000136,C0018,S00024,TXN0000136,2023-10-31,149,Success,Credit Card,0
PAY000137,C0018,S00024,TXN0000137,2023-11-30,149,Success,Debit Card,0
PAY000138,C0018,S00024,TXN0000138,2023-12-30,149,Failed,Credit Card,2
PAY000139,C0018,S00024,TXN0000139,2024-01-29,149,Success,Debit Card,0
PAY000140,C0018,S00024,TXN0000140,2024-02-28,149,Success,UPI,0
PAY000141,C0018,S00025,TXN0000141,2024-04-15,149,Success,Net Banking,0
PAY000142,C0019,S00026,TXN0000142,2023-07-01,299,Success,Credit Card,0
PAY000143,C0019,S00026,TXN0000143,2023-07-31,299,Pending,Credit Card,0
PAY000144,C0019,S00026,TXN0000144,2023-08-30,249,Success,Credit Card,0
PAY000145,C0019,S00026,TXN0000145,2023-09-29,299,Success,UPI,0
PAY000146,C0020,S00027,TXN0000146,2023-03-16,149,Failed,Paytm,3
PAY000147,C0020,S00027,TXN0000147,2023-04-15,149,Success,UPI,0
PAY000148,C0020,S00027,TXN0000148,2023-05-15,149,Success,UPI,0
PAY000149,C0020,S00027,TXN0000149,2023-06-14,149,Success,UPI,0
PAY000150,C0020,S00027,TXN0000150,2023-07-14,149,Pending,Credit Card,1
PAY000151,C0020,S00027,TXN0000151,2023-08-13,149,Success,Paytm,0
PAY000152,C0020,S00027,TXN0000152,2023-09-12,149,Success,Debit Card,0
PAY000153,C0020,S00027,TXN0000153,2023-10-12,149,Failed,Debit Card,1
PAY000154,C0020,S00027,TXN0000154,2023-11-11,149,Failed,UPI,1
PAY000155,C0021,S00028,TXN0000155,2024-09-10,299,Success,Credit Card,0
PAY000156,C0021,S00028,TXN0000156,2024-10-10,299,Success,Credit Card,0
PAY000157,C0021,S00028,TXN0000157,2024-11-09,299,Success,Net Banking,0
PAY000158,C0022,S00029,TXN0000158,2023-03-25,149,Success,UPI,0
PAY000159,C0022,S00029,TXN0000159,2023-04-24,149,Success,UPI,0
PAY000160,C0022,S00030,TXN0000160,2023-06-04,149,Pending,Credit Card,0
PAY000161,C0022,S00030,TXN0000161,2023-07-04,149,Success,UPI,0
PAY000162,C0022,S00030,TXN0000162,2023-08-03,149,Success,UPI,0
PAY000163,C0023,S00031,TXN0000163,2024-07-11,149,Success,Credit Card,0
PAY000164,C0023,S00031,TXN0000164,2024-08-10,149,Pending,UPI,1
PAY000165,C0023,S00031,TXN0000165,2024-09-09,149,Failed,UPI,1
PAY000166,C0023,S00031,TXN0000166,2024-10-09,149,Pending,Jio Money,0
PAY000167,C0023,S00032,TXN0000167,2024-12-07,499,Success,Net Banking,0
PAY000168,C0024,S00033,TXN0000168,2023-05-29,299,Success,UPI,0
PAY000169,C0024,S00033,TXN0000169,2023-06-28,299,Success,Net Banking,0
PAY000170,C0024,S00033,TXN0000170,2023-07-28,299,Failed,Jio Money,1
PAY000171,C0024,S00033,TXN0000171,2023-08-27,299,Success,Paytm,0
PAY000172,C0024,S00033,TXN0000172,2023-09-26,299,Success,Net Banking,0
PAY000173,C0024,S00033,TXN0000173,2023-10-26,299,Success,Credit Card,0
PAY000174,C0024,S00033,TXN0000174,2023-11-25,299,Success,Debit Card,0
PAY000175,C0024,S00033,TXN0000175,2023-12-25,299,Failed,Credit Card,3
PAY000176,C0024,S00034,TXN0000176,2024-02-08,799,Success,UPI,0
PAY000177,C0024,S00034,TXN0000177,2024-03-09,799,Success,UPI,0
PAY000178,C0024,S00034,TXN0000178,08/04/2024,799,Success,Net Banking,0
PAY000179,C0025,S00035,TXN0000179,2023-02-01,799,Success,Credit Card,0
PAY000180,C0025,S00035,TXN0000180,2023-03-03,799,Success,Jio Money,0
PAY000181,C0025,S00035,TXN0000181,2023-04-02,799,Success,UPI,0
PAY000182,C0025,S00035,TXN0000182,2023-05-02,799,Success,Credit Card,0
PAY000183,C0025,S00035,TXN0000183,2023-06-01,799,Pending,Net Banking,1
PAY000184,C0025,S00035,TXN0000184,2023-07-01,799,Failed,UPI,1
PAY000185,C0025,S00035,TXN0000185,2023-07-31,799,Success,Debit Card,0
PAY000186,C0025,S00035,TXN0000186,2023-08-30,799,Success,Debit Card,0
PAY000187,C0025,S00035,TXN0000187,2023-09-29,799,Success,Credit Card,0
PAY000188,C0025,S00035,TXN0000188,2023-10-29,799,Success,Credit Card,0
PAY000189,C0026,S00036,TXN0000189,2024-02-19,299,Success,UPI,0
PAY000190,C0026,S00036,TXN0000190,2024-03-20,299,Success,Debit Card,0
PAY000191,C0026,S00036,TXN0000191,2024-04-19,299,Success,Net Banking,0
PAY000192,C0026,S00036,TXN0000192,2024-05-19,299,Success,UPI,0
PAY000193,C0026,S00036,TXN0000193,2024-06-18,299,Success,UPI,0
PAY000194,C0026,S00036,TXN0000194,2024-07-18,299,Success,UPI,0
PAY000195,C0026,S00036,TXN0000195,2024-08-17,299,Success,UPI,0
PAY000196,C0026,S00036,TXN0000196,2024-09-16,299,Success,Paytm,0
PAY000197,C0026,S00036,TXN0000197,2024-10-16,299,Success,UPI,0
PAY000198,C0026,S00037,TXN0000198,20/11/2024,299,Failed,Jio Money,2
PAY000199,C0027,S00038,TXN0000199,2023-06-12,399,Success,,0
PAY000200,C0027,S00038,TXN0000200,2023-07-12,299,Success,Debit Card,0
PAY000201,C0027,S00038,TXN0000201,2023-08-11,299,Success,Debit Card,0
PAY000202,C0027,S00038,TXN0000202,2023-09-10,299,Pending,Jio Money,0
PAY000203,C0027,S00038,TXN0000203,2023-10-10,249,Success,UPI,0
PAY000204,C0027,S00038,TXN0000204,2023-11-09,299,Success,Jio Money,0
PAY000205,C0027,S00038,TXN0000205,2023-12-09,299,Failed,Paytm,1
PAY000206,C0027,S00038,TXN0000206,2024-01-08,299,Success,Credit Card,0
PAY000207,C0027,S00038,TXN0000207,2024-02-07,299,Success,Jio Money,0
PAY000208,C0027,S00038,TXN0000208,2024-03-08,299,Success,Jio Money,0
PAY000209,C0027,S00038,TXN0000209,2024-04-07,299,Failed,Credit Card,3
PAY000210,C0028,S00039,TXN0000210,2023-12-18,299,Success,UPI,0
PAY000211,C0028,S00039,TXN0000211,2024-01-17,299,Success,Paytm,0
PAY000212,C0028,S00039,TXN0000212,2024-02-16,299,Success,Credit Card,0
PAY000213,C0028,S00039,TXN0000213,2024-03-17,299,Success,UPI,0
PAY000214,C0028,S00039,TXN0000214,2024-04-16,299,Success,Credit Card,0
PAY000215,C0028,S00039,TXN0000215,2024-05-16,299,Failed,Net Banking,2
PAY000216,C0028,S00039,TXN0000216,2024-06-15,299,Success,UPI,0
PAY000217,C0029,S00040,TXN0000217,2024-07-29,799,Failed,Debit Card,1
PAY000218,C0029,S00040,TXN0000218,2024-08-28,749,Success,UPI,0
PAY000219,C0029,S00040,TXN0000219,2024-09-27,799,Success,UPI,0
PAY000220,C0029,S00040,TXN0000220,2024-10-27,799,Success,Jio Money,0
PAY000221,C0030,S00041,TXN0000221,2023-11-04,299,Success,Debit Card,0
PAY000222,C0030,S00041,TXN0000222,2023-12-04,299,Success,UPI,0
PAY000223,C0030,S00041,TXN0000223,2024-01-03,299,Success,Debit Card,0
PAY000224,C0030,S00041,TXN0000224,2024-02-02,299,Success,Debit Card,0
PAY000225,C0030,S00041,TXN0000225,2024-03-03,299,Success,Paytm,0
PAY000226,C0031,S00042,TXN0000226,2023-05-06,799,Success,UPI,0
PAY000227,C0031,S00042,TXN0000227,2023-06-05,799,Success,Credit Card,0
PAY000228,C0031,S00042,TXN0000228,2023-07-05,799,Success,UPI,0
PAY000229,C0031,S00042,TXN0000229,2023-08-04,799,Pending,UPI,0
PAY000230,C0031,S00042,TXN0000230,2023-09-03,799,Failed,Credit Card,3
PAY000231,C0032,S00043,TXN0000231,2024-08-08,149,Success,UPI,0
PAY000232,C0032,S00043,TXN0000232,2024-09-07,149,Success,Jio Money,0
PAY000233,C0032,S00043,TXN0000233,2024-10-07,149,Success,Debit Card,0
PAY000234,C0032,S00043,TXN0000234,2024-11-06,149,Success,Jio Money,0
PAY000235,C0033,S00044,TXN0000235,2023-09-07,299,Success,Net Banking,0
PAY000236,C0033,S00044,TXN0000236,2023-10-07,299,Success,Jio Money,0
PAY000237,C0034,S00045,TXN0000237,2024-09-13,149,Success,UPI,0
PAY000238,C0035,S00046,TXN0000238,2023-12-10,299,Failed,Debit Card,1
PAY000239,C0036,S00047,TXN0000239,2024-02-26,149,Success,UPI,0
PAY000240,C0036,S00047,TXN0000240,2024-03-27,149,Success,UPI,0
PAY000241,C0036,S00047,TXN0000241,2024-04-26,149,Failed,UPI,1
PAY000242,C0036,S00047,TXN0000242,26/05/2024,149,Success,Debit Card,0
PAY000243,C0036,S00047,TXN0000243,2024-06-25,149,Success,UPI,0
PAY000244,C0036,S00047,TXN0000244,2024-07-25,149,Success,Net Banking,0
PAY000245,C0036,S00047,TXN0000245,24/08/2024,149,Success,Net Banking,0
PAY000246,C0036,S00047,TXN0000246,2024-09-23,149,Pending,UPI,1
PAY000247,C0037,S00048,TXN0000247,2023-06-14,599,Success,UPI,0
PAY000248,C0037,S00048,TXN0000248,2023-07-14,499,Success,UPI,0
PAY000249,C0037,S00048,TXN0000249,2023-08-13,499,Success,Jio Money,0
PAY000250,C0037,S00048,TXN0000250,2023-09-12,499,Success,Credit Card,0
PAY000251,C0037,S00048,TXN0000251,2023-10-12,499,Failed,Credit Card,1
PAY000252,C0037,S00048,TXN0000252,2023-11-11,499,Success,Paytm,0
PAY000253,C0037,S00048,TXN0000253,2023-12-11,499,Pending,UPI,0
PAY000254,C0037,S00048,TXN0000254,2024-01-10,499,Failed,Credit Card,1
PAY000255,C0037,S00048,TXN0000255,2024-02-09,499,Failed,UPI,3
PAY000256,C0037,S00048,TXN0000256,2024-03-10,499,Success,UPI,0
PAY000257,C0037,S00048,TXN0000257,09/04/2024,499,Success,Credit Card,0
PAY000258,C0037,S00048,TXN0000258,2024-05-09,499,Success,UPI,0
PAY000259,C0037,S00048,TXN0000259,2024-06-08,499,Failed,UPI,3
PAY000260,C0037,S00048,TXN0000260,2024-07-08,499,Success,UPI,0
PAY000261,C0037,S00048,TXN0000261,2024-08-07,499,Success,Net Banking,0
PAY000262,C0037,S00048,TXN0000262,2024-09-06,499,Success,Credit Card,0
PAY000263,C0037,S00048,TXN0000263,06/10/2024,499,Success,UPI,0
PAY000264,C0038,S00049,TXN0000264,2023-05-21,299,Pending,Credit Card,1
PAY000265,C0038,S00049,TXN0000265,2023-06-20,299,Success,UPI,0
PAY000266,C0038,S00049,TXN0000266,2023-07-20,299,Success,Paytm,0
PAY000267,C0038,S00049,TXN0000267,2023-08-19,299,Success,UPI,0
PAY000268,C0038,S00049,TXN0000268,2023-09-18,299,Success,Credit Card,0
PAY000269,C0038,S00049,TXN0000269,2023-10-18,299,Success,UPI,0
PAY000270,C0038,S00049,TXN0000270,2023-11-17,299,Success,Paytm,0
PAY000271,C0038,S00049,TXN0000271,2023-12-17,299,Success,Debit Card,0
PAY000272,C0038,S00049,TXN0000272,2024-01-16,299,Success,Net Banking,0
PAY000273,C0038,S00049,TXN0000273,2024-02-15,299,Failed,Debit Card,3
PAY000274,C0038,S00049,TXN0000274,2024-03-16,299,Success,UPI,0
PAY000275,C0039,S00050,TXN0000275,2023-09-09,149,Success,UPI,0
PAY000276,C0039,S00051,TXN0000276,2023-10-21,299,Success,Net Banking,0
PAY000277,C0039,S00051,TXN0000277,2023-11-20,299,Success,UPI,0
PAY000278,C0039,S00051,TXN0000278,2023-12-20,299,Success,UPI,0
PAY000279,C0039,S00051,TXN0000279,2024-01-19,299,Success,Paytm,0
PAY000280,C0039,S00051,TXN0000280,2024-02-18,299,Success,Jio Money,0
PAY000281,C0039,S00051,TXN0000281,2024-03-19,299,Success,UPI,0
PAY000282,C0039,S00051,TXN0000282,2024-04-18,299,Failed,UPI,2
PAY000283,C0039,S00051,TXN0000283,2024-05-18,299,Success,Jio Money,0
PAY000284,C0040,S00052,TXN0000284,2023-05-28,499,Failed,,2
PAY000285,C0040,S00052,TXN0000285,2023-06-27,499,Success,Credit Card,0
PAY000286,C0040,S00052,TXN0000286,2023-07-27,499,Success,Debit Card,0
PAY000287,C0040,S00052,TXN0000287,2023-08-26,499,Pending,Net Banking,0
PAY000288,C0040,S00052,TXN0000288,25/09/2023,499,Success,Credit Card,0
PAY000289,C0040,S00052,TXN0000289,2023-10-25,499,Success,Jio Money,0
PAY000290,C0040,S00052,TXN0000290,2023-11-24,499,Success,Debit Card,0
PAY000291,C0040,S00052,TXN0000291,2023-12-24,499,Success,UPI,0
PAY000292,C0040,S00052,TXN0000292,2024-01-23,499,Failed,Debit Card,2
PAY000293,C0040,S00052,TXN0000293,2024-02-22,499,Failed,Jio Money,2
PAY000294,C0040,S00052,TXN0000294,2024-03-23,499,Success,UPI,0
PAY000295,C0040,S00052,TXN0000295,2024-04-22,499,Success,UPI,0
PAY000296,C0040,S00052,TXN0000296,2024-05-22,499,Success,Net Banking,0
PAY000297,C0040,S00052,TXN0000297,2024-06-21,549,Failed,Debit Card,2
PAY000298,C0040,S00052,TXN0000298,2024-07-21,499,Success,UPI,0
PAY000299,C0040,S00052,TXN0000299,2024-08-20,499,Failed,Credit Card,3
PAY000300,C0041,S00053,TXN0000300,2023-04-09,948,Success,Jio Money,0
PAY000301,C0041,S00053,TXN0000301,2023-05-09,799,Success,UPI,0
PAY000302,C0041,S00053,TXN0000302,2023-06-08,799,Pending,UPI,0
PAY000303,C0041,S00053,TXN0000303,2023-07-08,799,Success,Jio Money,0
PAY000304,C0041,S00053,TXN0000304,2023-08-07,799,Success,Paytm,0
PAY000305,C0042,S00054,TXN0000305,2023-09-11,799,Success,Credit Card,0
PAY000306,C0042,S00054,TXN0000306,2023-10-11,799,Success,UPI,0
PAY000307,C0042,S00054,TXN0000307,2023-11-10,799,Success,UPI,0
PAY000308,C0042,S00054,TXN0000308,2023-12-10,799,Pending,UPI,0
PAY000309,C0042,S00054,TXN0000309,2024-01-09,799,Success,Jio Money,0
PAY000310,C0042,S00054,TXN0000310,2024-02-08,799,Success,Jio Money,0
PAY000311,C0042,S00054,TXN0000311,2024-03-09,799,Success,UPI,0
PAY000312,C0042,S00054,TXN0000312,08/04/2024,799,Success,Jio Money,0
PAY000313,C0042,S00054,TXN0000313,2024-05-08,799,Pending,UPI,0
PAY000314,C0042,S00054,TXN0000314,2024-06-07,799,Success,Jio Money,0
PAY000315,C0042,S00054,TXN0000315,2024-07-07,799,Success,Credit Card,0
PAY000316,C0042,S00054,TXN0000316,2024-08-06,799,Success,Debit Card,0
PAY000317,C0043,S00055,TXN0000317,2023-04-30,299,Success,Jio Money,0
PAY000318,C0043,S00055,TXN0000318,2023-05-30,299,Success,UPI,0
PAY000319,C0043,S00055,TXN0000319,2023-06-29,299,Success,Credit Card,0
PAY000320,C0043,S00055,TXN0000320,2023-07-29,299,Success,Net Banking,0
PAY000321,C0043,S00055,TXN0000321,2023-08-28,299,Success,UPI,0
PAY000322,C0043,S00055,TXN0000322,2023-09-27,299,Pending,UPI,1
PAY000323,C0043,S00055,TXN0000323,2023-10-27,299,Success,UPI,0
PAY000324,C0043,S00055,TXN0000324,2023-11-26,299,Success,Jio Money,0
PAY000325,C0043,S00055,TXN0000325,2023-12-26,299,Success,UPI,0
PAY000326,C0043,S00055,TXN0000326,2024-01-25,299,Success,Paytm,0
PAY000327,C0043,S00055,TXN0000327,24/02/2024,299,Success,Credit Card,0
PAY000328,C0043,S00055,TXN0000328,2024-03-25,299,Success,UPI,0
PAY000329,C0044,S00056,TXN0000329,2024-04-01,299,Success,UPI,0
PAY000330,C0044,S00056,TXN0000330,2024-05-01,299,Success,Credit Card,0
PAY000331,C0044,S00056,TXN0000331,2024-05-31,299,Success,UPI,0
PAY000332,C0045,S00057,TXN0000332,2023-08-24,799,Success,Paytm,0
PAY000333,C0045,S00057,TXN0000333,2023-09-23,899,Success,UPI,0
PAY000334,C0045,S00057,TXN0000334,23/10/2023,799,Success,Jio Money,0
PAY000335,C0045,S00057,TXN0000335,2023-11-22,799,Success,Paytm,0
PAY000336,C0045,S00057,TXN0000336,2023-12-22,799,Success,UPI,0
PAY000337,C0045,S00057,TXN0000337,2024-01-21,799,Success,Debit Card,0
PAY000338,C0045,S00057,TXN0000338,2024-02-20,799,Success,UPI,0
PAY000339,C0045,S00057,TXN0000339,2024-03-21,799,Success,Debit Card,0
PAY000340,C0045,S00057,TXN0000340,2024-04-20,799,Success,Debit Card,0
PAY000341,C0045,S00057,TXN0000341,2024-05-20,799,Success,Debit Card,0
PAY000342,C0045,S00057,TXN0000342,2024-06-19,799,Success,Debit Card,0
PAY000343,C0045,S00057,TXN0000343,2024-07-19,799,Success,Credit Card,0
PAY000344,C0045,S00057,TXN0000344,2024-08-18,799,Success,Debit Card,0
PAY000345,C0045,S00057,TXN0000345,2024-09-17,799,Success,Credit Card,0
